devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
Emulator	VMware	VMware x86 virtual machine	2015 latest	x86	1	-	-	-	-	-	-	-	-	-	-	-
WiFi Router	Askey	RT4230W	REV6	Qualcomm Atheros IPQ8065	2	1700	512	1024	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.0 A
WiFi Router	AVM	FRITZ!Box 3390	NULL	Lantiq XWAY VRX288	2	500	128NAND	128	-	4	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 2.0 A
WiFi AP	COMFAST	CF-E538AC	NULL	MediaTek MT7620DA	1	580	8	64	-	2	b/g/n	a/n/ac	-	-	Yes	PoE (ethernet port - back)
Router	MikroTik	RBD52G-5HacD2HnD-TC (hAP ac-)	NULL	Qualcomm Atheros IPQ4018	4	716	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	-
Router	MikroTik	RB450Gx4	NULL	Qualcomm IPQ4019	4	716	512NAND	1024	-	5	-	-	-	-	Yes	10-57 VDC barrel jack, 0.8 A, PoE 802.3af/at
WiFi AP	MikroTik	RBcAPGi-5acD2nD (cAP ac)	NULL	Qualcomm Atheros IPQ4018	4	716	16	128	-	2	b/g/n	a/n/ac	-	-	Yes	PoE 802.3af/at
WiFi Router	NETGEAR	R6020	NULL	MediaTek MT7628A	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Xiaomi	Mi Router 4A (MIR4A)	Gigabit Edition	MediaTek MT7621	2	880	16	128	-	3	b/g/n	a/n/ac	-	-	Yes	12 Vdc
WiFi Router	Upvel	UR-337N4G	NULL	Ralink RT3352	1	400	16	64	5	-	b/g/n	-	-	1x 2.0	-	-
WiFi Router	3Com	3CRWER100-75	NULL	Atheros AR2315A	1	180	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.25 A
WiFi Router	3Com	3CRWER100-75	NULL	Atheros AR2315A	1	180	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.25 A
WiFi Router	4G Systems	AccessCube (MeshCube)	NULL	Alchemy 1500	1	400	32	64	-	-	-	-	-	1x 1.1 Device	Yes	-
Travel Router - Battery powered	7Links	PX-4885	NULL	Ralink RT5350	1	360	8	32	1	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC (-USB), 5200 mAh battery
Single Board Computer	8devices	Carambola 1	NULL	Ralink RT3050	1	320	8	32	2	-	b/g/n	-	-	Yes	Yes	3.3 VDC, 0.5 A
Single Board Computer	8devices	Carambola 2	NULL	Atheros AR9331	1	400	16	64	2	-	b/g/n	-	-	1x 2.0 Device	Yes	3.3 VDC, 0.2 A
Single Board Computer	Abicom International	Freedom CPE	Rev 05	Atheros AR5312	1	220	8	32	1	-	b/g	a	-	-	Yes	6 VDC, 1.2 A
Single Board Computer	Abicom International	Scorpion SC450	Rev 02	Qualcomm Atheros QCA9550	1	700	256NAND	256	-	1	-	a/n/ac	-	2x 2.0	Yes	12 VDC, PoE 802.3at
Modem	Actiontec	C1000A	1	Broadcom BCM63168	2	400	64	64	-	4	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
Router	Actiontec	GT701	D	Texas Instruments TNETD7200	1	150	4	16	1	-	-	-	-	-	Yes	-
WiFi Router	Actiontec	GT704WG	1A	Texas Instruments TNETD7300	1	150	4	16	4	-	b/g	-	-	-	Yes	12 VDC, 0.6 A
Modem	Actiontec	GT784WNV	5A	Broadcom BCM6328	1	320	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Actiontec	MI424WR	A	Intel IXP425	1	533	8	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	C	Intel IXP425	1	533	8	32	5	-	b/g	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	D	Intel IXP420	1	533	8	32	5	-	b/g	-	-	-	Yes	5 VDC, 3.0 A
WiFi Router	Actiontec	MI424WR	I	Marvell 88F6560	1	1200	128NAND	128	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.8 A
Modem	ADB	P.DG A4001N	A-000-1A1-AE	-	-	-	-	32	4	-	b/g/n	-	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	ADB	P.DG A4001N1	NULL	Broadcom BCM6328	1	320	16	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
Modem	ADB	P.DG A4001N	A-000-1A1-AX	Broadcom BCM63281	1	320	16	32	4	-	b/g/n	-	-	1x 2.0	Yes	15v DC, 0.5A, centre positive
WiFi Router	ADB	AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	ADB	P.DG AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Pirelli	AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Pirelli	PRG AV4202N	NULL	Broadcom BCM6368	2	400	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	ADI Engineering	Pronghorn SBC250	NULL	Intel IXP425	1	533	16	64	2	-	b/g	a	-	-	Yes	5 VDC, 2.5 A, PoE 802.3af
WiFi AP	Aerohive	AP121	NULL	Atheros AR9344	1	560	128NAND	128	-	1	b/g/n	a/n	-	1x 2.0	Yes	PoE 802.3af (48V 0.35A) or 12V 1.1A DC
WiFi Router	Afoundry	EW1200	NULL	MediaTek MT7621A	2	880	16	128	1	5	b/g/n	a/n/ac	-	1x 3.0	Yes	-
NAS	Agestar	NSB3AS	NULL	Star STR8132	1	150	8	32	1	-	-	-	-	Yes	Yes	-
WiFi Router	Airlink101	AR625W	NULL	Marvell 88F5181	1	500	8	32	5	-	b/g/n	-	-	-	-	-
WiFi Router	Airlink101	AR670W	NULL	Ralink RT2880	1	266	4	32	5	-	b/g/n	-	-	-	Yes	5 VDC, 2.0 A
WiFi Router	Airlink101	AR725W	NULL	Ralink RT2880	1	266	4	32	5	-	b/g/n	a/n	-	-	Yes	12 VDC, 1.0 A
WiFi Router	AirTies	WAV-281	v1	Lantiq Danube	2	333	4	32	4	-	b/g/n	-	-	1x 2.0	Yes	-
Modem	Alcatel-Sbell	RG100A-AA	Rev 0	Broadcom BCM6358	2	300	16	32	-	-	b/g	a	-	1x 2.0	Yes	-
WiFi AP	ALFA Network	Tube2H	NULL	Atheros AR9331	1	400	8	32	1	-	b/g/n	-	-	-	Yes	PoE 12-24 VDC
WiFi AP	ALFA Network	Tube2HP	NULL	Atheros AR9331	1	400	16	64	1	-	b/g/n	-	-	-	Yes	PoE 802.3af/at
WiFi AP	ALFA Network	Tube2HP-F	NULL	Atheros AR9331	1	400	16	64	1	-	b/g/n	-	-	-	No	POE
WiFi Router	ALFA Network	AP120C	NULL	Atheros AR9344	1	533	16	128	-	1	b/g/n	a/n	-	-	Yes	12 VDC, PoE 802.3af
WiFi Router	ALFA Network	AP121	NULL	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A, PoE
Router	ALFA Network	AP96	NULL	Atheros AR7161	1	680	microSD	128	-	2	-	-	-	-	Yes	12 VDC, PoE 48 VDC
Travel Router	ALFA Network	Hornet-UB / AP121 / AP121U	NULL	Atheros AR9331	1	400	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A, PoE 5-18V
Travel Router	ALFA Network	Hornet-UB x2	NULL	Atheros AR9331	1	400	16	64	2	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi AP	ALFA Network	N2	NULL	Atheros AR7240	1	400	8	32	2	-	b/g/n	-	-	-	-	PoE 12-24 VDC
WiFi Router	ALFA Network	N5	NULL	Atheros AR7240 rev 2	1	400	8	32	2	-	-	a/n	-	-	Yes	PoE 12-24 VDC
Single Board Computer	ALFA Network	W502U / R36	NULL	Ralink RT3050F	1	320	8	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi AP	ALLNET	ALL-WAP02860AC	NULL	Qualcomm Atheros QCA9558	1	720	16	128	-	1	b/g/n	a/n/ac	-	-	Yes	12 VDC, 2.0 A, PoE 802.3at
WiFi Router	Allnet	ALL0239-3G	NULL	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Allnet	ALL0256N	NULL	Ralink RT3050F	1	320	8	32	1	-	b/g/n	-	-	-	Yes	-
WiFi Router	Allnet	ALL0258N	NULL	Atheros AR7240 rev 2	1	350	8	32	1	-	b/g/n	-	-	-	-	-
WiFi Router	Allnet	ALL0305	NULL	Atheros AR7161	1	680	8	64	-	1	b/g	a	-	-	-	PoE 802.3af
WiFi Router	Alpha Networks	ASL-26555	NULL	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ARC Flex	FreeStation 5	v1	Ralink RT3050F	1	320	8	32	2	-	b/g/n	a/n	-	2x 2.0	Yes	24 VDC, 0.7 A, non-standard 24V PoE
WiFi Router	Arcadyan / Astoria	AR7516 (Orange / EE Bright Box)	NULL	Broadcom BCM6328	1	320	8	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV4510PW	NULL	Lantiq XWAY Danube PSB 50702	2	333	16	32	4	-	b/g	-	-	2x 2.0	-	12 VDC, 2.0 A
WiFi Router	Arcadyan / Astoria	ARV4518PW	R01A	Lantiq XWAY Danube	2	333	4	64	4	-	b/g	-	-	1x 2.0	Yes	15 VDC, 1.0 A
WiFi Router	SMC	SMC7908ISP-A	NULL	Lantiq XWAY Danube	2	333	4	64	4	-	b/g	-	-	1x 2.0	Yes	15 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV4518PW	R01	Lantiq XWAY Danube	2	333	4	64	4	-	b/g	-	-	1x 2.0	Yes	15 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV4518PW2	NULL	Lantiq XWAY Danube PSB 50702	2	333	4	32	4	-	b/g	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	Arcadyan / Astoria	ARV4519PW	NULL	Lantiq XWAY Danube	2	333	4	32	4	-	-	-	-	1x 2.0	-	15 VDC, 1.2 A
WiFi Router	Arcadyan / Astoria	ARV452CPW	NULL	Lantiq XWAY Danube	2	333	4	32	4	-	b/g	-	-	Yes	Yes	15 VDC, 1.2 A
WiFi Router	Arcadyan / Astoria	ARV7506PW11	NULL	Lantiq XWAY Danube	2	333	8	64	4	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV7510PW	NULL	Lantiq XWAY Danube	2	333	16	32	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Arcadyan / Astoria	ARV7519PW	NULL	Lantiq XWAY Danube PSB 50702	2	333	8	64	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	Arcadyan / Astoria	ARV7519RW22 (Livebox 2.1)	NULL	Lantiq XWAY VRX288	2	500	32	128	4	1	b/g/n	-	-	2x 2.0	Yes	15 VDC, 1.66 A
WiFi Router	Arcadyan / Astoria	ARV752DPW (EasyBox 802)	R01	Lantiq XWAY Danube	2	333	8	64	4	-	b/g/n	-	-	3x 2.0	Yes	15 VDC, 1.6 A
WiFi Router	Arcadyan / Astoria	Easybox 904 LTE	NULL	Lantiq XWAY VRX288	2	500	512	128	-	4	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 2.5 A
WiFi Router	Arcadyan / Astoria	VGV7510KW22 (o2 Box 6431)	NULL	Lantiq XWAY VRX288	2	500	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	15 VDC, 1.2 A
WiFi Router	Arcadyan / Astoria	VGV7519KW (KPN Experia Box v8)	R02	Lantiq XWAY VRX288 v1.2	2	500	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
WiFi Router	Arcadyan / Astoria	VGV7519KW (KPN Experia Box v8)	R01	Lantiq XWAY VRX288 v1.1	2	500	16	64	4	-	b/g/n	-	-	2x 2.0	Yes	-
Modem	Arcadyan	VRV752DHW22 Vodafone EasyBox 903	NULL	Lantiq Danube	2	333	16	64	4	-	b/g/n	-	-	1x 2.0	Yes	15 VDC, 1.2 A
Single Board Computer	Arduino.cc	Yun	NULL	Atheros AR9331	1	400	microSDHC	64	1	-	b/g/n	-	-	1x OTG	Yes	5 VDC
WiFi AP	Aruba	AP-105	NULL	Atheros AR7161	1	680	16	128	-	1	b/g/n	a/n	-	-	Yes	-
WiFi AP	Aruba	AP-303	NULL	Qualcomm IPQ4029	4	716	128NAND	512	-	1	b/g/n	a/n/ac	BLE	-	Yes	12 VDC, PoE 802.3af
WiFi AP	Aruba	AP-303H	NULL	Qualcomm IPQ4029	4	716	128NAND	512	-	1	b/g/n	a/n/ac	BLE	1x 2.0	Yes	48 VDC, PoE 802.3af/at
WiFi AP	Aruba	AP-365	NULL	Qualcomm IPQ4029	4	716	128NAND	512	-	1	b/g/n	a/n/ac	BLE	1x 2.0	Yes	PoE 802.3af
Router	AsiaRF	AP7621-002	NULL	MediaTek MT7621A	2	880	16	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	14 VDC, 2.0 A, PoE 48V
WiFi Router	AsiaRF	AP7623-A02	NULL	MediaTek MT7623A	4	1300	8192 eMMC	512	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.0 A, PoE 802.3af
WiFi Router	AsiaRF	AP2620	NULL	MediaTek MT7620A	1	580	8	32	2	-	b/g/n	-	-	1x 2.0	-	-
WiFi Router	AsiaRF	AWM-EVB	NULL	Ralink RT5350F	1	360	8	32	2	-	b/g/n	-	-	1x 2.0	-	-
WiFi Router	AsiaRF	AWM002	NULL	Ralink RT5350F	1	360	16	32	2	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	AsiaRF	AWM003	NULL	Ralink RT5350F	1	360	8	64	2	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	Asmax	AR 1004g	1	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	-	Yes	-
WiFi Router	Arcadyan / Astoria	ARV7510PW22	NULL	Lantiq XWAY Danube	2	333	16	64	4	-	b/g/n	-	-	3x 2.0	Yes	15 VDC, 1.2 A
WiFi Router	Arcadyan / Astoria	ARV7518PW	NULL	Lantiq XWAY Danube	2	333	8	64	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Arcadyan / Astoria	ARV752DPW22 (EasyBox 803A)	NULL	Lantiq XWAY Danube	2	333	8	64	4	-	b/g/n	-	-	3x 2.0	Yes	15 VDC, 1.66 A
WiFi Router	ASUS	DSL-N12U	B1	Ralink RT3052F	1	384	16	32	4	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	ASUS	DSL-N16U	NULL	MediaTek MT7620A + Ralink RT63368	1	580	32	128	-	5	b/g/n	-	-	2x 2.0	-	12 VDC, 2.0 A
WiFi Router	ASUS	Lyra (MAP-AC2200)	NULL	Qualcomm IPQ4019	4	717	128NAND	256	-	2	b/g/n	a/n/ac	4.0	-	Yes	12 VDC, 2.0 A
Range Extender	ASUS	RP-N53	NULL	MediaTek MT7620A	1	580	8	64	1	-	b/g/n	a/n	-	-	-	100-240 VAC, 0.25 A
WiFi Router	ASUS	RT-AC51U	NULL	MediaTek MT7620A	1	580	16	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-AC54U	NULL	MediaTek MT7620A	1	580	16	64	5	-	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-AC56U	NULL	Broadcom BCM4708A0	2	800	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	19 VDC, 1.75 A
WiFi Router	ASUS	RT-AC57U	v1	MediaTek MT7621AT	2	880	16	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 2.0 A
WiFi Router	ASUS	RT-AC58U	NULL	Qualcomm Atheros IPQ4018	4	717	2	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.5 A
WiFi Router	ASUS	RT-ACRH13	NULL	Qualcomm Atheros IPQ4018	4	710	128	128	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.5 A
WiFi Router	ASUS	RT-AC1300UHP	NULL	Qualcomm Atheros IPQ4018	4	716	128	256	-	5	b/g/n	a/n/ac	-	1x 3.0	-	12 VDC, 1.5 A
WiFi Router	ASUS	RT-AC68U	NULL	Broadcom BCM4708A0	2	800	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	19 VDC, 1.75 A
WiFi Router	ASUS	RT-AC85P	NULL	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	ASUS	RT-AC65P	NULL	MediaTek MT7621AT	2	880	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	ASUS	RT-AC87U	NULL	Broadcom BCM4709A0	2	1000	128NAND	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	19 VDC, 2.37 A
WiFi Router	ASUS	RT-G32	B1	Ralink RT3052	1	320	4	16	5	-	b/g	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-G32	C1	Ralink RT3052	1	320	4	32	5	-	b/g	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N10P	A1	Broadcom BCM5357	1	320	8	32	5	-	b/g/n	-	-	-	-	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N10+	B1	Ralink RT3050F	1	320	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N10+	D1	Broadcom BCM5356	1	300	4	16	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N10U	B	Broadcom BCM5356	1	300	8	32	5	-	b/g/n	-	-	1x 2.0	-	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N10U	NULL	Broadcom BCM5357	1	320	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N12	A1	Broadcom BCM4716	1	300	4	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N12	B1	Broadcom BCM5357	1	300	8	32	5	-	b/g/n	-	-	-	Yes	9 VDC, 1.0 A
WiFi Router	ASUS	RT-N12	D1	Broadcom BCM5357C0	1	300	8	32	5	-	b/g/n	-	-	-	Yes	12 VDC, 0.5 A
WiFi Router	ASUS	RT-N13	NULL	Ralink RT2880	1	266	4	32	5	-	b/g/n	-	-	-	-	5 VDC, 2.5 A
WiFi Router	ASUS	RT-N13U	B1	Ralink RT3052	1	384	8	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N13U	NULL	Ralink RT3052	1	384	4	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N14U	C1	MediaTek MT7620N	1	600	16	64	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N15	NULL	Ralink RT2880	1	266	4	32	-	5	b/g/n	-	-	-	Yes	5 VDC, 2.5 A
WiFi Router	ASUS	RT-N15U	NULL	Broadcom BCM47186B0	1	500	8	64	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N16	NULL	Broadcom BCM4718	1	480	32	128	-	5	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.25 A
WiFi Router	ASUS	RT-N18U	A1	Broadcom BCM47081A0	1	800	128NAND	256	-	5	b/g/n	-	-	1x 3.0	Yes	12 VDC, 1.5 A
WiFi Router	ASUS	RT-N53	NULL	Broadcom BCM5358	1	500	8	32	5	-	b/g/n	a	-	-	Yes	12 VDC, 1.0 A
WiFi Router	ASUS	RT-N56U	A1	Ralink RT3662	1	500	8	128	-	5	b/g/n	a/n	-	2x 2.0	Yes	19 VDC, 1.58 A
WiFi Router	ASUS	RT-N56U	B1	MediaTek MT7621ST	1	880	16	128	-	5	b/g/n	a/n/ac	-	2x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	ASUS	RT-N66U	B2	Broadcom BCM4706	1	600	32	256	-	5	b/g/n	a/n	-	2x 2.0	Yes	19 VDC, 1.58 A
Travel Router	ASUS	WL-320gE	NULL	Broadcom BCM5352	1	200	4	16	1	-	b/g	-	-	-	Yes	5 VDC, 2.0 A
Travel Router	ASUS	WL-320gP	NULL	Broadcom BCM5352E	1	200	4	16	1	-	b/g	-	-	-	Yes	5 VDC, 2.0 A
Travel Router	ASUS	WL-330N	A	Ralink RT3050	1	320	4	16	1	-	b/g/n	-	-	1x -USB (power)	Yes	5 VDC
Travel Router	ASUS	WL-330N3G	NULL	Ralink RT3050	1	320	4	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-500g Deluxe	NULL	Broadcom BCM5365	1	200	4	32	5	-	b/g	-	-	2x 2.0	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-500g Premium	v1	Broadcom BCM4704	1	264	8	32	5	-	b/g	-	-	2x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	ASUS	WL-500g Premium	v2	Broadcom BCM5354	1	240	8	32	5	-	b/g	-	-	2x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	ASUS	WL-500W	NULL	Broadcom BCM4704	1	264	8	32	5	-	b/g/n	-	-	2x 2.0	Yes	5 VDC, 2.5 A
WiFi Router	ASUS	WL-520gU	NULL	Broadcom BCM5354	1	240	4	16	5	-	b/g	-	-	1x 1.1	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-550gE	NULL	Broadcom BCM5352E	1	200	4	16	5	-	b/g	-	-	-	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-HDD2.5	NULL	Broadcom BCM4702	1	125	4	16	2	-	b/g	-	-	1x 1.1	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-500b	v1	Broadcom BCM4710	1	125	4	16	5	-	b	-	-	1x 1.1	-	5 VDC, 2.0 A
WiFi Router	ASUS	WL-500g	NULL	Broadcom BCM4710	1	125	4	16	5	-	b/g	-	-	1x 1.1	Yes	5 VDC, 2.0 A
WiFi Router	ASUS	WL-600g	NULL	Broadcom BCM6348	1	256	4	16	4	-	b/g	-	-	2x 2.0	Yes	12 VDC, 1.25 A
Single Board Computer	AcmeSystems	Netus G20	NULL	ARM9	1	400	8	64	1	-	-	-	-	1x 2.0 Device	Yes	-
Router	Atmel	ATNGW100	NULL	Atmel AT32AP7000	1	210	16	32	2	-	-	-	-	1x 2.0 Device	Yes	-
WiFi Router	AudioCodes	Mediapack MP-252	NULL	Lantiq XWAY Danube	2	333	32	64	4	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	AVM	FRITZ!Box 7362SL	NULL	Lantiq XWAY VRX288	2	500	128NAND	128	2	2	b/g/n	-	-	2x 2.0	-	12 VDC, 1.4 A
WiFi Router	AVM	FRITZ!Box 4040	NULL	Qualcomm Atheros IPQ4018	4	638	32	256	-	5	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.5 A
WiFi Router	AVM	FRITZ!Box Fon WLAN 7320	NULL	Lantiq PSB50812	2	393	16	64	-	2	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	AVM	FRITZ!Box 7360	v2	Lantiq XWAY VRX288	2	500	32	128	2	2	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.4 A
WiFi Router	AVM	FRITZ!Box 7412	NULL	Lantiq XWAY VRX220	2	500	128NAND	128	1	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	AVM	FRITZ!Box 7530	NULL	Qualcomm IPQ4019	4	716	128NAND	256	-	4	b/g/n	a/n/ac	-	1x 3.0	Yes	12 VDC, 1.5 A
Range Extender	AVM	FRITZ!Repeater 1200	NULL	Qualcomm IPQ4019	4	717	128NAND	256	-	1	b/g/n	a/n/ac	-	-	Yes	230 VAC, 50 Hz
Range Extender	AVM	FRITZ!WLAN Repeater 1750E	NULL	Qualcomm Atheros QCA9556	1	720	16	64	-	1	b/g/n	a/n/ac	-	-	Yes	230 VAC, 50 Hz
Range Extender	AVM	FRITZ!WLAN Repeater 450E	NULL	Qualcomm Atheros QCA9556	1	560	16	64	-	1	b/g/n	-	-	-	Yes	230 VAC, 50 Hz
Range Extender	AVM	FRITZ!WLAN Repeater DVB-C	NULL	Qualcomm Atheros QCA9556	1	720	16	64	-	1	b/g/n	a/n/ac	-	-	Yes	230 VAC, 50 Hz, 0.03 A
WiFi Router	AVM	FRITZ!Box 4020	NULL	Qualcomm Atheros QCA9561	1	750	16	128	5	-	b/g/n	-	-	1x 2.0	Yes	-
WiFi Router	AVM	FRITZ!Box 7490	NULL	Lantiq XWAY VRX288 / PSB 80920 EL	2	500	8	256	-	4	b/g/n	a/n/ac	-	2x 3.0	Yes	12 VDC, 2.5 A
WiFi Router	AVM	FRITZ!Box WLAN 3370	NULL	Lantiq XWAY VRX288	2	500	512NAND	128	-	4	b/g/n	a/n	-	2x 2.0	Yes	12 VDC, 1.4 A
WiFi Router	AVM	FRITZ!Box Fon WLAN 7170	NULL	Texas Instruments AR7	1	212	8	32	4	-	b/g	-	-	1x 1.1	Yes	12 VDC, 1.2 A
WiFi Router	AVM	FRITZ!Box 7312	NULL	Lantiq XWAY ARX188	2	393	16	64	1	-	b/g/n	-	-	-	Yes	5 VDC, 1.6 A
WiFi Router	AVM	FRITZ!Box 7330	NULL	Lantiq XWAY ARX188	2	393	16	64	1	1	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	AVM	FRITZ!Box 7360SL	NULL	Lantiq XWAY VRX288	2	500	32	128	2	2	b/g/n	-	-	2x 2.0	Yes	12 VDC, 1.4 A
Modem	AVM	FRITZ!Box Fon WLAN 7570	NULL	Texas Instruments UR8	1	360	16	64	4	-	b/g/n	a/n	-	1x 2.0	Yes	-
Travel Router - Battery powered	AXIMCom	MR-102N	NULL	Ralink RT3050	1	320	8	32	1	-	b/g/n	-	-	1x 2.0	Yes	5 VDC, 2.0 A, 1700mAh battery
WiFi Router	Aztech	DSL7002GRV(S)	NULL	Broadcom BCM6361	2	400	128	128	-	5	b/g/n	a/n	-	2x 2.0	-	-
WiFi Router	Aztech	HW550-3G	NULL	Ralink RT3052F	1	384	8	32	5	-	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.0 A
WiFi Router	Baidu	M-100	NULL	MediaTek MT7620A	1	580	8	64	2	-	b/g/n	-	-	1x 2.0	Yes	5 VDC (-USB)
WiFi Router	Belkin	F5D8230-4	v1002	Broadcom BCM4704	1	266	4	16	5	-	b/g/n	-	-	-	Yes	12 VDC, 1.0 A
WiFi Router	Belkin	F5D8235-4	v1	Ralink RT2880	1	266	8	32	-	5	b/g/n	-	-	1x 2.0	Yes	12 VDC, 1.5 A
