devicetype	brand	model	version	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	wlan24ghz	wlan50ghz	bluetooth	usbports	serial	powersupply
WiFi Router	HiWiFi/Gee	HC5761A	NULL	MediaTek MT7628AN	1	580	SD	128	3	-	b/g/n	a/n/ac	-	-	-	-
WiFi Router	COMFAST	CF-WR650AC	v1	Qualcomm Atheros QCA9558	1	720	16	128	-	5	b/g/n	a/n/ac	-	-	-	12 VDC, 2.0 A
WiFi Router	COMFAST	CF-WR650AC	v2	Qualcomm Atheros QCA9558	1	720	16	256	-	5	b/g/n	a/n/ac	-	-	-	12 VDC, 2.0 A
WiFi Router	Fon	Fonera simpl Japan FON2601	NULL	MediaTek MT7620A	1	580	16	128	1	1	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
WiFi Router	devolo	Magic 2 WiFi	NULL	Atheros AR9344	1	560	16	128	-	2	b/g/n	a/n/ac	-	-	-	196-250 VAC 50Hz
WiFi Router	ipTIME	A604M	NULL	MediaTek MT7628AN	1	580	8	64	5	-	b/g/n	a/n/ac	-	-	Yes	-
WiFi Router	ADSLR	G7	NULL	MediaTek MT7621AT	2	880	16	256	-	5	b/g/n	a/n/ac	-	-	-	12 VDC, 2.0 A
WiFi AP	Adtran Bluesocket	BSAP-1800	v2	Atheros AR7161	1	600	16	64	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.25 A, PoE 802.3af
WiFi AP	Adtran Bluesocket	BSAP-1840	NULL	Atheros AR7161	1	600	16	64	-	1	b/g/n	a/n	-	-	Yes	12 VDC, 1.25 A, PoE 802.3af
WiFi Router	NETGEAR	R6850	NULL	MediaTek MT7621AT	2	880	128NAND	128	-	5	b/g/n	a/n/ac	-	1x 2.0	Yes	12 VDC, 1.5 A
Single Board Computer	Sinovoip	Banana Pi M2 Ultra	BPI-M2U	Allwinner R40	4	1200	microSD	2048	-	1	b/g/n	-	4.0	2x 2.0	Yes	5 VDC, 2.0 A
Single Board Computer	Samsung	TQ210	NULL	Samsung S5PV210	-	1000	SD	1024	1	-	-	-	-	3x 2.0	Yes	12 VDC, 1.0 A
Router	AsiaRF	AP7621-NV1	NULL	MediaTek MT7621A	2	880	microSDXC	512	-	3	b/g/n	a/n/ac	-	1x 3.0	Yes	12-28 VDC, 2.0 A, PoE 802.3af
WiFi Router	EnGenius	ESR600	NULL	MediaTek MT7620A	1	600	16	64	-	5	b/g/n	a/n	-	1x 2.0	Yes	12 VDC, 1.25 A
Router	XiaoYu	XY-C5	NULL	MediaTek MT7621A	2	880	32	512	-	5	-	-	-	1x 3.0	Yes	-
WiFi Router	I-O Data	WNPR2600G	NULL	MediaTek MT7621A	2	880	16	128	-	5	b/g/n	a/n/ac	-	-	Yes	12 VDC
WiFi Router	ipTIME	A3	NULL	MediaTek MT7628AN	1	-	8	64	3	-	b/g/n	a/n/ac	-	-	Yes	-
